StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
143;60200393;Gersthof S;Wien;49000001;16.3289644;48.2315481
144;60201461;Weinhauser Gasse;Wien;49000001;16.3317581;48.2300401
145;60200101;Aumannplatz;Wien;49000001;16.3363216;48.2284184
146;60200843;Martinstraße;Wien;49000001;16.3417744;48.2266471
147;60201510;Währinger Straße, Volksoper U;Wien;49000001;16.3492933;48.2248218
148;60201288;Spitalgasse;Wien;49000001;16.3530033;48.2224039
149;60201226;Sensengasse;Wien;49000001;16.3555455;48.2207042
150;60201197;Schwarzspanierstraße;Wien;49000001;16.359049;48.2173404
151;60200889;Montleartstraße;Wien;49000001;16.3021497;48.2024702
152;60200187;Burgersteingasse;Wien;49000001;16.2978917;48.2026318
153;60200156;Breitenseer Straße, Braillegasse;Wien;49000001;16.295053;48.2026378
154;60200156;Breitenseer Straße, Braillegasse;Wien;49000001;16.2950709;48.2027755
155;60200187;Burgersteingasse;Wien;49000001;16.2979905;48.2025181
156;60200889;Montleartstraße;Wien;49000001;16.3021766;48.2023564
157;60200780;Leyserstraße;Wien;49000001;16.3022215;48.1978179
158;60200055;Ameisgasse;Wien;49000001;16.2995176;48.1947221
159;60201561;Cumberlandstraße;Wien;49000001;16.3019161;48.1918357
160;60201210;Schöffelgasse;Wien;49000001;16.3260269;48.2316558
161;60200743;Landstraße, Wien Mitte S U;Wien;49000001;16.3854235;48.2055655
162;60200845;Marxergasse;Wien;49000001;16.3865554;48.207176
163;60200527;Hintere Zollamtsstraße;Wien;49000001;16.3870315;48.2108636
164;60201063;Radetzkyplatz;Wien;49000001;16.3895378;48.2109774
165;60200513;Hetzgasse;Wien;49000001;16.3927627;48.2085768
166;60201071;Löwengasse;Wien;49000001;16.3945773;48.2058828
167;60201497;Wittelsbachstraße;Wien;49000001;16.3994013;48.2061163
168;60200486;Prater Hauptallee;Wien;49000001;16.4066597;48.209397
169;60200486;Prater Hauptallee;Wien;49000001;16.4066597;48.209397
170;60201497;Wittelsbachstraße;Wien;49000001;16.3993923;48.2061702
171;60201071;Löwengasse;Wien;49000001;16.3954487;48.2057571
172;60200513;Hetzgasse;Wien;49000001;16.393149;48.2082236
173;60201063;Radetzkyplatz;Wien;49000001;16.3906517;48.2104027
174;60200527;Hintere Zollamtsstraße;Wien;49000001;16.3874717;48.211151
175;60200845;Marxergasse;Wien;49000001;16.3865644;48.2079183
176;60200743;Landstraße, Wien Mitte S U;Wien;49000001;16.3856571;48.2059906
177;60200732;Kutschkergasse;Wien;49000001;16.3449813;48.2261204
178;60200054;Ameisbachzeile, Hanuschkrankenhaus;Wien;49000001;16.2921514;48.2014463
179;60200764;Lebingergasse;Wien;49000001;16.2898966;48.2040688
180;60200339;Flötzersteigbrücke;Wien;49000001;16.290759;48.2070143
181;60200846;Matschgasse;Wien;49000001;16.2908129;48.2087085
182;60200983;Ottakringer Bad;Wien;49000001;16.2888546;48.2115042
183;60200846;Matschgasse;Wien;49000001;16.2907051;48.2087445
184;60200339;Flötzersteigbrücke;Wien;49000001;16.2906782;48.2070323
185;60200764;Lebingergasse;Wien;49000001;16.2901122;48.2040328
186;60200054;Ameisbachzeile, Hanuschkrankenhaus;Wien;49000001;16.2921335;48.2012068
187;60200732;Kutschkergasse;Wien;49000001;16.344604;48.2262042
188;60201288;Spitalgasse;Wien;49000001;16.353677;48.2220628
189;60201510;Währinger Straße, Volksoper U;Wien;49000001;16.3493831;48.2248637
190;60200843;Martinstraße;Wien;49000001;16.3427715;48.2265992
191;60200101;Aumannplatz;Wien;49000001;16.3368336;48.2279876
192;60201461;Weinhauser Gasse;Wien;49000001;16.331821;48.2301299
193;60200393;Gersthof S;Wien;49000001;16.3289554;48.2317276
194;60200026;Alsegger Straße;Wien;49000001;16.3247064;48.2316917
195;60200502;Herbeckstraße;Wien;49000001;16.3182475;48.2324517
196;60200438;Guneschgasse;Wien;49000001;16.3535064;48.2362512
197;60200135;Döblinger Hauptstraße, Gatterburggasse;Wien;49000001;16.3546472;48.2387223
198;60201030;Pokornygasse;Wien;49000001;16.3554647;48.2408641
199;60200109;Barawitzkagasse;Wien;49000001;16.3556354;48.2442682
200;60201008;Perntergasse;Wien;49000001;16.3551862;48.2487189
201;60200540;Hohe Warte;Wien;49000001;16.3555725;48.2510159
202;60201008;Perntergasse;Wien;49000001;16.3549796;48.2493889
203;60200109;Barawitzkagasse;Wien;49000001;16.3557162;48.2448844
204;60201030;Pokornygasse;Wien;49000001;16.3554737;48.2414026
205;60200135;Döblinger Hauptstraße, Gatterburggasse;Wien;49000001;16.3546472;48.2390932
206;60200438;Guneschgasse;Wien;49000001;16.3535872;48.2368196
207;60200405;Glatzgasse;Wien;49000001;16.3528506;48.2339236
208;60200950;Nußdorfer Straße U;Wien;49000001;16.353686;48.2323918
209;60200202;Canisiusgasse;Wien;49000001;16.354746;48.2282628
210;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;16.3546921;48.2251689
211;60201288;Spitalgasse;Wien;49000001;16.3533536;48.2225715
212;60200252;Döblinger Bad;Wien;49000001;16.3569649;48.2512013
213;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;16.3551593;48.2256237
214;60200202;Canisiusgasse;Wien;49000001;16.3549167;48.2279696
215;60200950;Nußdorfer Straße U;Wien;49000001;16.354252;48.2315301
216;60200405;Glatzgasse;Wien;49000001;16.3534345;48.2330201
217;60200747;Lange Gasse;Wien;49000001;16.3513863;48.2149761
218;60201267;Skodagasse;Wien;49000001;16.3491855;48.2152155
219;60200178;Brünnlbadgasse;Wien;49000001;16.3463198;48.2154849
220;60200027;Alser Straße U;Wien;49000001;16.3421337;48.2172207
221;60200988;Palffygasse;Wien;49000001;16.3366719;48.2176995
222;60200276;Elterleinplatz;Wien;49000001;16.3319648;48.2181724
223;60201115;Rosensteingasse;Wien;49000001;16.32706;48.2192438
224;60200508;Hernals, Wattgasse;Wien;49000001;16.3218138;48.2214224
225;60200508;Bahnhof Hernals;Wien;49000001;16.3210143;48.2216558
229;60200508;Bhf.Hls. - Bedarfshaltes;Wien;49000001;16.3206819;48.2217695
230;60200508;Hernals, Wattgasse;Wien;49000001;16.3217419;48.2213506
231;60201115;Rosensteingasse;Wien;49000001;16.3269701;48.21913
232;60200276;Elterleinplatz;Wien;49000001;16.332881;48.2180886
233;60200988;Palffygasse;Wien;49000001;16.336645;48.2175918
234;60200027;Alser Straße U;Wien;49000001;16.3420798;48.2171549
235;60200178;Brünnlbadgasse;Wien;49000001;16.3453407;48.2155028
236;60201267;Skodagasse;Wien;49000001;16.3491675;48.2151377
237;60200747;Lange Gasse;Wien;49000001;16.3504251;48.214988
238;60200742;Landesgerichtsstraße;Wien;49000001;16.3570816;48.2144433
239;60201728;Hainburger Straße;Wien;49000001;16.3971106;48.1991471
240;60200540;Hohe Warte;Wien;49000001;16.3553838;48.2513569
241;60200840;Maroltingergasse;Wien;49000001;16.3057699;48.2144134
242;60200840;Maroltingergasse;Wien;49000001;16.3059855;48.2134736
